pi,country,region,score.prc,score.temp,score
IS23694,Mozambique,East Africa,0.166666667,0,0.166666667
IS23698,Mozambique,East Africa,0.166666667,0,0.166666667
IS23700,Mozambique,East Africa,0,0,0
IS2371,Indonesia,South Asia,0,0,0
IS23711,Mozambique,East Africa,0.166666667,0,0.166666667
IS2379,South Africa,South Africa,0,0,0
IS2382,South Africa,South Africa,0,0,0
IS2397,South Africa,South Africa,0,0,0
IS2416,South Africa,South Africa,0,0,0
IS24283,United Republic of Tanzania,East Africa,0.166666667,0,0.166666667
IS24286,United Republic of Tanzania,East Africa,0,0,0
IS24287,United Republic of Tanzania,East Africa,0,0,0
IS24288,United Republic of Tanzania,East Africa,0,0,0
IS24292,United Republic of Tanzania,East Africa,0.166666667,0,0.166666667
IS24294,United Republic of Tanzania,East Africa,0.166666667,0,0.166666667
IS24297,United Republic of Tanzania,East Africa,0.166666667,0,0.166666667
IS24299,United Republic of Tanzania,East Africa,0.166666667,0,0.166666667
IS2430,Nigeria,West Africa,0.166666667,0,0.166666667
IS24302,United Republic of Tanzania,East Africa,0.166666667,0,0.166666667
IS24308,United Republic of Tanzania,East Africa,0.166666667,0,0.166666667
IS24309,United Republic of Tanzania,East Africa,0.166666667,0,0.166666667
IS24327,India,South Asia,0,0.363636364,0.363636364
IS24332,India,South Asia,0.166666667,0.454545455,0.621212121
IS24334,India,South Asia,0.166666667,0.363636364,0.53030303
IS24336,India,South Asia,0.166666667,0.272727273,0.439393939
IS24348,India,South Asia,0.166666667,0.454545455,0.621212121
IS24360,India,South Asia,0,0,0
IS24369,India,South Asia,0,0,0
IS24379,India,South Asia,0.166666667,0.363636364,0.53030303
IS24386,India,South Asia,0.166666667,0.363636364,0.53030303
IS24389,India,South Asia,0.166666667,0,0.166666667
IS24413,India,South Asia,0.166666667,0.454545455,0.621212121
IS24416,India,South Asia,0.166666667,0.090909091,0.257575758
IS24417,India,South Asia,0,0,0
IS24713,Nigeria,West Africa,0,0,0
IS24775,Nigeria,West Africa,0,0,0
IS24786,Nigeria,West Africa,0,0,0
IS24875,Nigeria,West Africa,0,0,0
IS25055,Ghana,West Africa,0,0,0
IS25098,Ghana,West Africa,0,0,0
IS25506,Burundi,East Africa,0.166666667,0,0.166666667
IS25522,Burundi,East Africa,0,0,0
IS25523,Burundi,East Africa,0,0,0
IS25524,Burundi,East Africa,0,0,0
IS25543,Rwanda,East Africa,0,0,0
IS25548,Rwanda,East Africa,0.166666667,0,0.166666667
IS25670,Mali,West Africa,0,0,0
IS25690,Mali,West Africa,0,0,0
IS25694,Mali,West Africa,0,0,0
IS25702,Mali,West Africa,0,0,0
IS25706,Mali,West Africa,0,0,0
IS25708,Mali,West Africa,0,0,0
IS25722,Mali,West Africa,0,0,0
IS25732,Mali,West Africa,0.166666667,0.454545455,0.621212121
IS25733,Mali,West Africa,0,0,0
IS25752,Mali,West Africa,0,0,0
IS25766,Mali,West Africa,0.166666667,0,0.166666667
IS25772,Mali,West Africa,0,0,0
IS25783,Mali,West Africa,0,0,0
IS25784,Mali,West Africa,0,0,0
IS25798,Mali,West Africa,0.166666667,0,0.166666667
IS25804,Mali,West Africa,0,0,0
IS25812,Mali,West Africa,0,0,0
IS25816,Mali,West Africa,0,0,0
IS25836,Mali,West Africa,0.166666667,0.636363636,0.803030303
IS25839,Mali,West Africa,0,0,0
IS25848,Mali,West Africa,0,0,0
IS25865,Mali,West Africa,0,0,0
IS25868,Mali,West Africa,0,0,0
IS25877,Mali,West Africa,0.166666667,0,0.166666667
IS25888,Mali,West Africa,0,0,0
IS25912,Mali,West Africa,0.166666667,0,0.166666667
IS25913,Mali,West Africa,0,0,0
IS25921,Mali,West Africa,0.166666667,0,0.166666667
IS25931,Mali,West Africa,0.166666667,0,0.166666667
IS25936,Mali,West Africa,0.166666667,0,0.166666667
IS25945,Mali,West Africa,0,0.272727273,0.272727273
IS25966,Mali,West Africa,0,0,0
IS25985,Mali,West Africa,0,0.090909091,0.090909091
IS25987,Mali,West Africa,0.166666667,0,0.166666667
