"","pet_min","AridityIndex","max_heat_index","ann_heat_index","coldindex.mean","coldindex.min"
"PI329299.D1G0BACXX.7.250130030",-0.563882671954129,-2161.63519203416,0.944636349350154,0.308702755457893,0.0597526279695401,0.0642342065981564
"PI329300.D1G0BACXX.7.250130042",-0.745573680007611,-2102.11560702784,0.864635361448754,0.272150043584383,0.0638313995310855,0.0671889796199391
"PI329301.D1G0BACXX.7.250130054",-0.21819372446108,-2135.1770800714,0.926396799494634,0.326643701215173,0.0545869556624557,0.0585545755638544
"PI329310.D1G0BACXX.7.250130066",-2.79878557934853,-2014.43257551878,0.225652403518323,-0.139838140433968,0.100830369986136,0.0984309187524924
"PI329311.D1G0BACXX.7.250130078",-0.279267724897328,-2039.95548993411,0.481487009025384,0.188656327133179,0.0549591788306533,0.052286201467992
"PI329312.D1G0BACXX.7.250130090",-3.90073085318629,-2004.65733877391,0.339750040937218,-0.0787320373048013,0.100650875369234,0.0897913264975047
"PI329316.D1G0BACXX.7.250130007",-11.1823646674568,746.681283575986,-6.12615366495365,-4.59299740313022,0.483750801310519,0.531830269378874
"PI329318.D1G0BACXX.7.250130019",-11.9134660856239,1044.88739325853,-6.43952297154594,-4.84634148889177,0.508673050907014,0.560416750868025
"PI329319.D1G0BACXX.7.250130031",-14.5718616974933,878.886087819433,-6.14924063212373,-4.67664500529066,0.517241662903553,0.566860143028464
"PI329320.D1G0BACXX.7.250130043",-12.8767713274591,963.887946844321,-6.20967095495992,-4.69640575466952,0.506841976278953,0.555851032215526
"PI329325.D1G0BACXX.7.250130055",-11.2227316248131,919.253236182569,-6.32720890538652,-4.73346675556736,0.496419259859042,0.543661604432333
"PI329326.D1G0BACXX.7.250130067",-11.8235669241443,808.806442512608,-5.67440861499349,-4.2629389598818,0.461026556898324,0.496830216026459
"PI329333.D1G0BACXX.7.250130079",2.91259834996778,-1255.02426983126,2.18436524512738,0.463049956607745,0.0650836787111687,0.126264335222642
"PI329338.D1G0BACXX.7.250129895",-2.76480087145608,-35.2710532902171,-0.518600359360031,-0.584019137678769,0.102632504604655,0.106711706893504
"PI329351.D1G0BACXX.7.250130008",-8.74095561225176,433.814041198856,-5.52357091176464,-3.96992240136331,0.412174200218048,0.446684410110217
"PI329394.D1G0BACXX.7.250130020",0.270836346964749,-2005.46614107283,0.564379941936801,0.390995502689413,0.0267574700195778,0.0215069605006815
"PI329403.D1G0BACXX.7.250130032",2.95212283887574,-2113.92886428309,0.963963986044725,0.499449157986272,0.0177686421937633,0.0349555725828736
"PI329442.D1G0BACXX.7.250130044",4.7144842268355,-2172.82377829667,0.940257228511604,0.433208768868868,0.0025677321599035,0.0241603779789607
"PI329465.D1G0BACXX.7.250130056",-8.18915344022418,131.835385541075,-4.83082059036862,-3.40649719070106,0.350008333500611,0.37940544402406
"PI329466.D1G0BACXX.7.250130068",0.488854703293962,-1168.84783528867,-1.8753033312381,-1.17678835599927,0.120005345652673,0.136346960639614
"PI329470.D1G0BACXX.7.250130080",-14.7666356830019,1180.48992536227,-6.09092084654185,-4.5912782486171,0.500135076167145,0.539499917733139
"PI329471.D1G0BACXX.7.250130092",-12.9576527582212,1005.18491490768,-6.16254582018631,-4.61727678390236,0.493119111636611,0.53637692291063
"PI329473.D1G0BACXX.7.250130009",-12.9542718651651,921.295995825903,-6.11183141931398,-4.67913969428598,0.505543007234272,0.552953012175773
